Time_ID,Lake_ID,Lake ,Diatoms_BV,Chlorophytes_BV,Chrysophytes_BV,Cryptophytes_BV,Cyanobacteria_BV,Dinoflagellates_BV,Euglenoids_BV
T2013,L03,Crosson,133.76,28.03,155.76,31.76,4.9,22.89,0
T1984,L04,Dickie,132,50,370,92,11,39,0
T1985,L04,Dickie,38,47,1356,110,18,10,5
T1986,L04,Dickie,52,13,53,62,1,27,0
T1987,L04,Dickie,98,63,75,51,3,29,3
T1988,L04,Dickie,40,27,136,44,17,0,0
T1989,L04,Dickie,116,2,82,43,5,6,0
T1990,L04,Dickie,17,14,418,26,5,21,0
T1991,L04,Dickie,112,51,298,22,9,28,1
T1992,L04,Dickie,67,22,430,61,8,35,1
T1993,L04,Dickie,35,38,177,141,8,10,0
T1994,L04,Dickie,50,36,986,58,10,39,0
T1995,L04,Dickie,77,20,322,43,9,20,0
T1996,L04,Dickie,79,40,388,53,5,15,3
T1997,L04,Dickie,125,43,352,26,10,0,0
T1998,L04,Dickie,36,22,1160,16,9,10,0
T1999,L04,Dickie,138,69,799,138,13,0,0
T2000,L04,Dickie,22,65,451,51,10,4,0
T2001,L04,Dickie,45,50,677,85,17,20,0
T2002,L04,Dickie,92,10,397,38,3,17,0
T2003,L04,Dickie,140,112,397,187,106,8,0
T2004,L04,Dickie,93,20,1247,85,11,30,4
T2005,L04,Dickie,133,38,302,86,8,43,0
T2006,L04,Dickie,253,54,508,138,31,70,0
T2007,L04,Dickie,56,43,448,54,13,74,0
T2008,L04,Dickie,84,47,321,108,16,6,0
T2009,L04,Dickie,111.71,18.27,577.82,35.59,11.02,96.41,0.44
T2010,L04,Dickie,50.88,18.55,710.98,96.51,9.77,74.18,5.19
T2011,L04,Dickie,342.24,67.77,159.04,48.51,54.41,44.6,0.59
T2012,L04,Dickie,89.81,31.72,654.09,62.92,22.24,33.11,2.97
T2013,L04,Dickie,66.06,23.71,251.82,73.29,3.55,17.63,9.29
T1984,L05,Harp,557,44,266,59,20,28,0
T1985,L05,Harp,704,28,78,94,115,37,0
T1986,L05,Harp,448,28,280,75,111,4,0
T1987,L05,Harp,93,27,34,37,53,5,0
T1988,L05,Harp,269,19,32,51,3,4,0
T1989,L05,Harp,303,25,42,33,10,9,0
T1990,L05,Harp,127,46,167,68,31,4,0
T1991,L05,Harp,129,22,169,16,19,3,0
T1992,L05,Harp,419,22,157,40,4,9,0
T1993,L05,Harp,129,10,156,36,6,13,0
T1994,L05,Harp,108,31,119,30,14,8,0
T1995,L05,Harp,72,18,160,59,16,8,0
T1996,L05,Harp,47,10,762,43,3,20,0
T1997,L05,Harp,54,28,74,32,29,0,0
T1998,L05,Harp,25,28,163,32,19,20,0
T1999,L05,Harp,66,27,178,65,31,12,0
T2000,L05,Harp,52,49,155,55,11,17,0
T2001,L05,Harp,44,56,171,58,10,26,0
T2002,L05,Harp,93,12,338,91,44,25,0
T2003,L05,Harp,24,12,99,59,25,0,0
T2004,L05,Harp,68,27,134,55,35,28,0
T2005,L05,Harp,42,18,37,66,37,37,0
T2006,L05,Harp,47,28,257,89,38,12,0
T2007,L05,Harp,77,33,111,46,65,6,0
T2008,L05,Harp,59,14,120,16,134,15,0
T2009,L05,Harp,33.23,11.82,107.44,40.19,14.39,13.25,0
T2010,L05,Harp,93.31,9.26,267.77,52.51,7.14,10.64,0
T2011,L05,Harp,50.34,14.86,51.87,21.96,28.32,10.49,0
T2012,L05,Harp,53.91,25.68,19.1,19.08,24.73,6.54,0
T2013,L05,Harp,51.32,20.75,42.08,28.57,48.35,8.11,0
T1984,L06,Heney,9,35,370,24,3,79,0
T1985,L06,Heney,31,16,238,34,1,132,8
T1986,L06,Heney,13,19,559,16,3,272,0
T1987,L06,Heney,9,9,72,20,9,57,0
T1988,L06,Heney,9,5,65,24,5,3,0
T1989,L06,Heney,0,7,46,19,0,2,0
T1990,L06,Heney,1,7,236,2,0,169,0
T1991,L06,Heney,13,12,445,19,0,62,0
T1992,L06,Heney,58,40,686,14,19,160,0
T1993,L06,Heney,30,16,1383,26,3,22,0
T1994,L06,Heney,4,24,168,7,18,32,0
T1995,L06,Heney,0,101,599,14,25,125,0
T1996,L06,Heney,20,352,362,16,52,72,1
T1997,L06,Heney,97,127,491,39,15,47,0
T1998,L06,Heney,29,108,295,58,27,17,0
T1999,L06,Heney,10,74,215,25,31,0,0
T2000,L06,Heney,36,68,256,8,19,23,0
T2001,L06,Heney,0,48,244,24,14,10,0
T2002,L06,Heney,81,47,270,137,22,35,0
T2003,L06,Heney,77,143,703,103,70,102,0
T2004,L06,Heney,73,38,464,40,19,108,0
T2005,L06,Heney,15,62,343,36,7,48,0
T2006,L06,Heney,55,35,151,22,23,76,0
T2007,L06,Heney,59,45,404,14,6,181,0
T2008,L06,Heney,34,31,356,32,8,44,0
T2009,L06,Heney,8.46,27.42,76.71,4.85,37.79,51.14,0.64
T2010,L06,Heney,7.31,31.22,388.68,20.19,11.43,70.96,0
T2011,L06,Heney,60.73,55.2,248.78,11.88,16.12,50.51,4.46
T2012,L06,Heney,29.31,71.9,291.24,10.39,7.82,177.74,0.85
T2013,L06,Heney,135.79,30.56,138.83,9.7,54,42.99,2.98
T1984,L07,Plastic,32,39,110,78,7,106,0
T1985,L07,Plastic,12,17,662,73,7,32,0
T1986,L07,Plastic,4,18,240,36,2,149,0
T1987,L07,Plastic,41,75,143,60,9,98,0
T1988,L07,Plastic,8,9,23,22,5,3,0
T1989,L07,Plastic,6,3,24,28,8,32,0
T1990,L07,Plastic,29,30,158,90,2,88,0
T1991,L07,Plastic,6,41,294,34,1,63,0
T1992,L07,Plastic,32,6,147,13,1,107,0
T1993,L07,Plastic,17,1,88,14,10,40,0
T1994,L07,Plastic,4,38,390,22,10,38,3
T1995,L07,Plastic,39,25,281,18,16,61,1
T1996,L07,Plastic,3,15,224,37,12,36,0
T1997,L07,Plastic,94,10,75,22,6,11,0
T1998,L07,Plastic,23,24,185,30,7,2,0
T1999,L07,Plastic,3,31,295,47,2,0,0
T2000,L07,Plastic,39,22,126,30,6,26,0
T2001,L07,Plastic,12,27,247,37,22,0,0
T2002,L07,Plastic,53,47,510,135,23,31,0
T2003,L07,Plastic,30,11,354,55,7,73,0
T2004,L07,Plastic,4,14,114,14,7,40,0
T2005,L07,Plastic,18,21,714,22,1,83,0
T2006,L07,Plastic,30,34,499,35,3,239,0
T2007,L07,Plastic,11,29,220,59,5,150,0
T2008,L07,Plastic,16,31,150,40,18,106,0
T2009,L07,Plastic,45.77,21.05,292.72,23.73,5,135.78,0
T2010,L07,Plastic,3.11,10.56,281.4,30.76,0.21,230.94,0
T2011,L07,Plastic,146.34,32.7,356.92,17.52,4.41,146.53,0.24
T2012,L07,Plastic,65.03,23.06,146.27,8.23,6.83,92.27,0
T2013,L07,Plastic,17.15,9.7,339.67,18.89,6.84,81.37,0
T1984,L08,Red Chalk East,127,35,227,67,11,13,0
T1985,L08,Red Chalk East,133,20,156,64,15,27,0
T1986,L08,Red Chalk East,39,14,63,34,1,24,1
T1987,L08,Red Chalk East,138,43,185,161,28,8,0
T1988,L08,Red Chalk East,20,7,36,25,4,7,0
T1989,L08,Red Chalk East,23,18,46,18,2,63,1
T1990,L08,Red Chalk East,49,23,470,15,9,90,0
T1991,L08,Red Chalk East,68,23,303,4,5,25,0
T1992,L08,Red Chalk East,30,17,227,18,8,29,1
T1993,L08,Red Chalk East,32,11,229,19,5,19,0
T1994,L08,Red Chalk East,119,14,144,13,11,48,1
T1995,L08,Red Chalk East,41,22,369,32,4,64,0
T1996,L08,Red Chalk East,40,36,695,30,1,40,1
T1997,L08,Red Chalk East,46,18,274,28,8,25,0
T1998,L08,Red Chalk East,162,52,177,63,10,24,0
T1999,L08,Red Chalk East,98,49,457,30,79,27,0
T2000,L08,Red Chalk East,88,52,377,64,4,20,0
T2001,L08,Red Chalk East,35,47,221,56,15,22,0
T2002,L08,Red Chalk East,83,39,457,60,50,48,0
T2003,L08,Red Chalk East,54,20,813,36,35,22,0
T2004,L08,Red Chalk East,47,14,142,37,15,3,0
T2005,L08,Red Chalk East,55,27,401,34,13,73,0
T2006,L08,Red Chalk East,56,62,438,41,24,96,0
T2007,L08,Red Chalk East,37,20,221,29,13,107,0
T2008,L08,Red Chalk East,35,28,366,39,32,25,1
T2009,L08,Red Chalk East,27.26,25.74,403.98,50.95,3.51,28.46,1.36
T2010,L08,Red Chalk East,22.2,14.53,381.28,30.96,8.17,46.25,0.42
T2011,L08,Red Chalk East,47.61,26.28,303.22,22.69,9.54,37.2,1.29
T2012,L08,Red Chalk East,49.52,19.01,78.21,11.1,5.76,35.48,0.18
T2013,L08,Red Chalk East,37.64,18.09,481.43,10.61,5.59,24.93,0
T1984,L09,Red Chalk Main,579,49,49,62,42,7,0
T1985,L09,Red Chalk Main,68,29,55,42,100,3,0
T1986,L09,Red Chalk Main,80,15,25,41,9,0,0
T1987,L09,Red Chalk Main,575,33,25,46,34,7,0
T1988,L09,Red Chalk Main,103,1,22,19,0,3,0
T1989,L09,Red Chalk Main,84,14,28,17,7,1,0
T1990,L09,Red Chalk Main,203,28,134,32,15,8,0
T1991,L09,Red Chalk Main,147,10,87,18,3,21,0
T1992,L09,Red Chalk Main,45,14,70,31,15,11,0
T1993,L09,Red Chalk Main,91,9,92,24,5,0,0
T1994,L09,Red Chalk Main,75,9,40,10,16,23,0
T1995,L09,Red Chalk Main,61,22,330,32,2,62,0
T1996,L09,Red Chalk Main,62,11,201,34,4,4,0
T1997,L09,Red Chalk Main,64,43,281,35,35,21,0
T1998,L09,Red Chalk Main,61,52,167,75,21,9,0
T1999,L09,Red Chalk Main,96,82,325,63,23,18,0
T2000,L09,Red Chalk Main,47,12,139,55,6,2,0
T2001,L09,Red Chalk Main,62,32,339,56,2,10,0
T2002,L09,Red Chalk Main,95,13,3551,27,27,38,0
T2003,L09,Red Chalk Main,61,19,402,76,11,35,0
T2004,L09,Red Chalk Main,65,21,146,84,19,52,0
T2005,L09,Red Chalk Main,105,8,144,23,15,83,0
T2006,L09,Red Chalk Main,177,22,204,44,29,78,0
T2007,L09,Red Chalk Main,90,13,183,24,13,68,0
T2008,L09,Red Chalk Main,37,27,218,43,20,62,0
T2009,L09,Red Chalk Main,67.27,18.02,217.37,19.43,6.89,52.95,0
T2010,L09,Red Chalk Main,72.48,26.01,225.78,18.45,7.52,36.03,0
T2011,L09,Red Chalk Main,147.14,34.18,110.25,16.89,4.94,25.43,0
T2012,L09,Red Chalk Main,120.1,8.8,68.55,14.93,4.95,26.02,0
T2013,L09,Red Chalk Main,49.83,18.28,211.26,11.05,8.92,21.51,0
